HBASE-20345,"I am running HBase in a docker container. Version is 1.2.4 (Also tried 1.2.6)

Basically based on
{quote}[https://github.com/dajobe/hbase-docker]
{quote}
When i do the following:

1) Build the image: *docker build -t hbase-docker .*

2) Start the container: *./start-hbase.sh*

3) Go in the container: *docker exec -it hbase bash*

4) Open HBase shell: *hbase shell*

5) and then if i type something and press backspace, it crashes with following:
{code:java}
hbase(main):001:0> li ConsoleReader.java:1414:in `backspace': java.lang.ArithmeticException: / by zero
Any idea how to make backspace work and prevent this from happening?! Thank you"
HBASE-19221,"Copying the mail from the dev@
{code}
I tried running some IT test cases using the alpha-4 RC. I found this issue
Exception in thread ""main"" java.lang.NoClassDefFoundError: org/hamcrest/SelfDescribing
        at java.lang.ClassLoader.defineClass1(Native Method)
        at java.lang.ClassLoader.defineClass(ClassLoader.java:760)
        at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)
        at java.net.URLClassLoader.defineClass(URLClassLoader.java:467)
        at java.net.URLClassLoader.access$100(URLClassLoader.java:73)
        at java.net.URLClassLoader$1.run(URLClassLoader.java:368)
        at java.net.URLClassLoader$1.run(URLClassLoader.java:362)
        at java.security.AccessController.doPrivileged(Native Method)
        at java.net.URLClassLoader.findClass(URLClassLoader.java:361)

...
       at org.apache.hadoop.hbase.IntegrationTestsDriver.doWork(IntegrationTestsDriver.java:111)
        at org.apache.hadoop.hbase.util.AbstractHBaseTool.run(AbstractHBaseTool.java:154)
        at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:70)
        at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:84)
        at org.apache.hadoop.hbase.IntegrationTestsDriver.main(IntegrationTestsDriver.java:47)

The same when run against latest master it runs without any issues
{code}"
HBASE-18896,"HADOOP-14267 change methods on DistCpOptions and introduced a new Builder class which doesn't exist on any previous releases.

We'll have to shim/reflect around this."
HBASE-20336,"running {{mvn verify}} for the spark integration tests against current master fails

{code}
$ mvn -DskipTests install
11:37:26,815 [INFO] Scanning for projects...
...
11:43:36,711 [INFO] ------------------------------------------------------------------------
11:43:36,711 [INFO] Reactor Summary:
11:43:36,711 [INFO] 
11:43:36,712 [INFO] Apache HBase ....................................... SUCCESS [  6.294 s]
11:43:36,712 [INFO] Apache HBase - Checkstyle .......................... SUCCESS [  1.742 s]
11:43:36,712 [INFO] Apache HBase - Build Support ....................... SUCCESS [  0.070 s]
11:43:36,712 [INFO] Apache HBase - Error Prone Rules ................... SUCCESS [  2.206 s]
11:43:36,712 [INFO] Apache HBase - Annotations ......................... SUCCESS [  1.413 s]
11:43:36,712 [INFO] Apache HBase - Build Configuration ................. SUCCESS [  0.254 s]
11:43:36,712 [INFO] Apache HBase - Shaded Protocol ..................... SUCCESS [ 37.870 s]
11:43:36,712 [INFO] Apache HBase - Common .............................. SUCCESS [ 12.526 s]
11:43:36,712 [INFO] Apache HBase - Metrics API ......................... SUCCESS [  2.412 s]
11:43:36,712 [INFO] Apache HBase - Hadoop Compatibility ................ SUCCESS [  3.260 s]
11:43:36,712 [INFO] Apache HBase - Metrics Implementation .............. SUCCESS [  2.756 s]
11:43:36,713 [INFO] Apache HBase - Hadoop Two Compatibility ............ SUCCESS [  3.959 s]
11:43:36,713 [INFO] Apache HBase - Protocol ............................ SUCCESS [ 11.295 s]
11:43:36,713 [INFO] Apache HBase - Client .............................. SUCCESS [ 15.360 s]
11:43:36,713 [INFO] Apache HBase - Zookeeper ........................... SUCCESS [  4.389 s]
11:43:36,713 [INFO] Apache HBase - Replication ......................... SUCCESS [  4.202 s]
11:43:36,713 [INFO] Apache HBase - Resource Bundle ..................... SUCCESS [  0.206 s]
11:43:36,713 [INFO] Apache HBase - HTTP ................................ SUCCESS [  8.530 s]
11:43:36,713 [INFO] Apache HBase - Procedure ........................... SUCCESS [  4.196 s]
11:43:36,713 [INFO] Apache HBase - Server .............................. SUCCESS [ 44.604 s]
11:43:36,713 [INFO] Apache HBase - MapReduce ........................... SUCCESS [ 11.122 s]
11:43:36,713 [INFO] Apache HBase - Testing Util ........................ SUCCESS [  6.633 s]
11:43:36,713 [INFO] Apache HBase - Thrift .............................. SUCCESS [  9.771 s]
11:43:36,713 [INFO] Apache HBase - RSGroup ............................. SUCCESS [  6.703 s]
11:43:36,713 [INFO] Apache HBase - Shell ............................... SUCCESS [  7.094 s]
11:43:36,713 [INFO] Apache HBase - Coprocessor Endpoint ................ SUCCESS [  7.542 s]
11:43:36,713 [INFO] Apache HBase - Backup .............................. SUCCESS [  6.246 s]
11:43:36,713 [INFO] Apache HBase - Integration Tests ................... SUCCESS [  7.461 s]
11:43:36,713 [INFO] Apache HBase - Examples ............................ SUCCESS [  9.054 s]
11:43:36,713 [INFO] Apache HBase - Rest ................................ SUCCESS [  8.972 s]
11:43:36,713 [INFO] Apache HBase - External Block Cache ................ SUCCESS [  5.180 s]
11:43:36,713 [INFO] Apache HBase - Spark ............................... SUCCESS [01:10 min]
11:43:36,713 [INFO] Apache HBase - Spark Integration Tests ............. SUCCESS [  7.774 s]
11:43:36,713 [INFO] Apache HBase - Assembly ............................ SUCCESS [ 15.075 s]
11:43:36,713 [INFO] Apache HBase - Shaded .............................. SUCCESS [  0.323 s]
11:43:36,713 [INFO] Apache HBase - Shaded - Client ..................... SUCCESS [  3.004 s]
11:43:36,713 [INFO] Apache HBase - Shaded - MapReduce .................. SUCCESS [  3.542 s]
11:43:36,714 [INFO] Apache HBase Shaded Packaging Invariants ........... SUCCESS [  3.105 s]
11:43:36,714 [INFO] Apache HBase - Archetypes .......................... SUCCESS [  0.063 s]
11:43:36,714 [INFO] Apache HBase - Exemplar for hbase-client archetype . SUCCESS [  4.843 s]
11:43:36,714 [INFO] Apache HBase - Exemplar for hbase-shaded-client archetype SUCCESS [  4.523 s]
11:43:36,714 [INFO] Apache HBase - Archetype builder ................... SUCCESS [  0.739 s]
11:43:36,714 [INFO] ------------------------------------------------------------------------
11:43:36,714 [INFO] BUILD SUCCESS
11:43:36,714 [INFO] ------------------------------------------------------------------------
11:43:36,714 [INFO] Total time: 06:09 min
11:43:36,714 [INFO] Finished at: 2018-04-03T11:43:36-05:00
11:43:38,408 [INFO] Final Memory: 305M/1087M
11:43:38,408 [INFO] ------------------------------------------------------------------------
$ mvn -pl hbase-spark -pl hbase-spark-it verify
11:45:14,664 [INFO] Scanning for projects...
...

11:49:27,439 [INFO] --- maven-failsafe-plugin:2.21.0:integration-test (integration-test) @ hbase-spark-it ---
11:49:27,576 [WARNING] The parameter forkMode is deprecated since version 2.14. Use forkCount and reuseForks instead.
11:49:27,641 [INFO] 
11:49:27,641 [INFO] -------------------------------------------------------
11:49:27,641 [INFO]  T E S T S
11:49:27,641 [INFO] -------------------------------------------------------
11:49:27,866 [WARNING] Corrupted STDOUT by directly writing to native stream in forked JVM 1. See FAQ web page and the dump file /Users/busbey/tmp_projects/hbase/hbase-spark-it/target/failsafe-reports/2018-04-03T11-49-27_574-jvmRun1.dumpstream
11:49:28,752 [INFO] Running org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad
11:49:36,776 [ERROR] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 7.995 s <<< FAILURE! - in org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad
11:49:36,776 [ERROR] testBulkLoad(org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad)  Time elapsed: 7.699 s  <<< ERROR!
java.io.IOException: Shutting down
	at org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad.setUpCluster(IntegrationTestSparkBulkLoad.java:613)
Caused by: java.lang.RuntimeException: Failed construction of RegionServer: class org.apache.hadoop.hbase.MiniHBaseCluster$MiniHBaseClusterRegionServer
	at org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad.setUpCluster(IntegrationTestSparkBulkLoad.java:613)
Caused by: java.lang.IllegalArgumentException: port out of range:-1
	at org.apache.hadoop.hbase.spark.IntegrationTestSparkBulkLoad.setUpCluster(IntegrationTestSparkBulkLoad.java:613)

11:49:37,190 [INFO] 
11:49:37,190 [INFO] Results:
11:49:37,191 [INFO] 
11:49:37,191 [ERROR] Errors: 
11:49:37,191 [ERROR]   IntegrationTestSparkBulkLoad>IntegrationTestBase.setUp:170->setUpCluster:613 禄 IO
11:49:37,191 [INFO] 
11:49:37,191 [ERROR] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0
11:49:37,191 [INFO] 
11:49:37,199 [INFO] 
11:49:37,199 [INFO] --- maven-failsafe-plugin:2.21.0:verify (verify) @ hbase-spark-it ---
11:49:37,848 [INFO] ------------------------------------------------------------------------
11:49:37,848 [INFO] Reactor Summary:
11:49:37,848 [INFO] 
11:49:37,848 [INFO] Apache HBase - Spark ............................... SUCCESS [03:57 min]
11:49:37,848 [INFO] Apache HBase - Spark Integration Tests ............. FAILURE [ 22.686 s]
11:49:37,849 [INFO] ------------------------------------------------------------------------
11:49:37,849 [INFO] BUILD FAILURE
11:49:37,849 [INFO] ------------------------------------------------------------------------
11:49:37,849 [INFO] Total time: 04:23 min
11:49:37,849 [INFO] Finished at: 2018-04-03T11:49:37-05:00
11:49:38,093 [INFO] Final Memory: 75M/762M
11:49:38,094 [INFO] ------------------------------------------------------------------------
11:49:38,096 [ERROR] Failed to execute goal org.apache.maven.plugins:maven-failsafe-plugin:2.21.0:verify (verify) on project hbase-spark-it: There are test failures.
11:49:38,096 [ERROR] 
11:49:38,096 [ERROR] Please refer to /Users/busbey/tmp_projects/hbase/hbase-spark-it/target/failsafe-reports for the individual test results.
11:49:38,096 [ERROR] Please refer to dump files (if any exist) [date]-jvmRun[N].dump, [date].dumpstream and [date]-jvmRun[N].dumpstream.
11:49:38,096 [ERROR] -> [Help 1]
11:49:38,096 [ERROR] 
11:49:38,096 [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
11:49:38,096 [ERROR] Re-run Maven using the -X switch to enable full debug logging.
11:49:38,096 [ERROR] 
11:49:38,096 [ERROR] For more information about the errors and possible solutions, please read the following articles:
11:49:38,096 [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException
11:49:38,096 [ERROR] 
11:49:38,096 [ERROR] After correcting the problems, you can resume the build with the command
11:49:38,096 [ERROR]   mvn <goals> -rf :hbase-spark-it
{code}"
HBASE-20381,see HBASE-20219 and related builds.
HBASE-2042,"Below is from Stefan Will:

{code}
I just ran into another case where a Regionserver wouldn't properly shut down (this is on my development cluster, so not too critical). In this case, it is also holding over 27000 datanode sockets (port 50010) in CLOSE_WAIT state. I was actually using so many that the SSH daemon wouldn't let me log in to the machine due to too many open file handles (I can probably figure out how to increase that limit). So I shut down the Master and the other regionservers, which might have been the cause for it to be in ""handleConnectionFailure()"". The last few lines of the log were:

009-12-06 10:30:12,609 INFO org.apache.hadoop.hbase.regionserver.HRegionServer: aborting server at: 10.1.20.144:60020 <http://10.1.20.144:60020>
- Hide quoted text -
2009-12-06 10:30:12,646 INFO org.apache.hadoop.hbase.regionserver.LogFlusher: regionserver/10.1.20.144:60020.logFlusher exiting
2009-12-06 10:30:12,646 INFO org.apache.hadoop.hbase.regionserver.HRegionServer$MajorCompactionChecker: regionserver/10.1.20.144:60020.majorCompactionChecker exiting
2009-12-06 10:30:14,871 INFO org.apache.hadoop.hbase.Leases: regionserver/10.1.20.144:60020.leaseChecker closing leases
2009-12-06 10:30:14,871 INFO org.apache.hadoop.hbase.Leases: regionserver/10.1.20.144:60020.leaseChecker closed leases
2009-12-06 10:30:17,366 INFO org.apache.hadoop.hbase.regionserver.HRegionServer: worker thread exiting
2009-12-06 10:30:17,366 INFO org.apache.zookeeper.ZooKeeper: Closing session: 0x2255b24f9f1003a
2009-12-06 10:30:17,366 INFO org.apache.zookeeper.ClientCnxn: Closing ClientCnxn for session: 0x2255b24f9f1003a
2009-12-06 10:30:17,387 INFO org.apache.zookeeper.ClientCnxn: Exception while closing send thread for session 0x2255b24f9f1003a : Read error rc = -1 java.nio.DirectByteBuffer[
pos=0 lim=4 cap=4]
2009-12-06 10:30:17,489 INFO org.apache.zookeeper.ClientCnxn: Disconnecting ClientCnxn for session: 0x2255b24f9f1003a
2009-12-06 10:30:17,489 INFO org.apache.zookeeper.ZooKeeper: Session: 0x2255b24f9f1003a closed
2009-12-06 10:30:17,548 INFO org.apache.zookeeper.ClientCnxn: EventThread shut down
2009-12-06 20:35:25,725 INFO org.apache.hadoop.hbase.regionserver.HRegionServer: Starting shutdown thread.

And here is the stacktrace taken after I was able to log back into the machine and send a kill to the process (at the last timestamp). It is now 15 minutes later, and the process is still running with no further log output.

Between midnight and 10:30, there are also over 6700 checksum errors in the log, always with the same log file name:

org.apache.hadoop.fs.ChecksumException: Checksum error: /blk_4234778497757442733:of:/hbase/post/1926133619/oldlogfile.log at 62521344
        at org.apache.hadoop.fs.FSInputChecker.verifySum(FSInputChecker.java:277)
        at org.apache.hadoop.fs.FSInputChecker.readChecksumChunk(FSInputChecker.java:241)

Here is the stack dump:

Exception in thread ""LeaseChecker"" java.lang.NullPointerException
    at org.apache.hadoop.ipc.Client$Connection.handleConnectionFailure(Client.java:351)
    at org.apache.hadoop.ipc.Client$Connection.setupIOstreams(Client.java:313)
    at org.apache.hadoop.ipc.Client$Connection.access$1700(Client.java:176)
    at org.apache.hadoop.ipc.Client.getConnection(Client.java:859)
    at org.apache.hadoop.ipc.Client.call(Client.java:719)
    at org.apache.hadoop.ipc.RPC$Invoker.invoke(RPC.java:220)
    at $Proxy1.renewLease(Unknown Source)
    at sun.reflect.GeneratedMethodAccessor12.invoke(Unknown Source)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
    at java.lang.reflect.Method.invoke(Method.java:597)
    at org.apache.hadoop.io.retry.RetryInvocationHandler.invokeMethod(RetryInvocationHandler.java:82)
    at org.apache.hadoop.io.retry.RetryInvocationHandler.invoke(RetryInvocationHandler.java:59)
    at $Proxy1.renewLease(Unknown Source)
    at org.apache.hadoop.hdfs.DFSClient$LeaseChecker.renew(DFSClient.java:1046)
    at org.apache.hadoop.hdfs.DFSClient$LeaseChecker.run(DFSClient.java:1058)
    at java.lang.Thread.run(Thread.java:619)
2009-12-06 20:43:32
Full thread dump Java HotSpot(TM) 64-Bit Server VM (14.0-b16 mixed mode):

""Thread-28"" prio=10 tid=0x00000000539e5800 nid=0x742e in Object.wait() [0x0000000040a45000]
   java.lang.Thread.State: WAITING (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab7803738> (a java.lang.Thread)
    at java.lang.Thread.join(Thread.java:1143)
    - locked <0x00002aaab7803738> (a java.lang.Thread)
    at org.apache.hadoop.hbase.util.Threads.shutdown(Threads.java:77)
    at org.apache.hadoop.hbase.util.Threads.shutdown(Threads.java:66)
    at org.apache.hadoop.hbase.regionserver.HRegionServer$ShutdownThread.run(HRegionServer.java:992)

""SIGTERM handler"" daemon prio=10 tid=0x0000000053ca6000 nid=0x742d in Object.wait() [0x0000000043b02000]
   java.lang.Thread.State: WAITING (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab7941978> (a org.apache.hadoop.hbase.regionserver.HRegionServer$ShutdownThread)
    at java.lang.Thread.join(Thread.java:1143)
    - locked <0x00002aaab7941978> (a org.apache.hadoop.hbase.regionserver.HRegionServer$ShutdownThread)
    at java.lang.Thread.join(Thread.java:1196)
    at java.lang.ApplicationShutdownHooks.runHooks(ApplicationShutdownHooks.java:79)
    at java.lang.ApplicationShutdownHooks$1.run(ApplicationShutdownHooks.java:24)
    at java.lang.Shutdown.runHooks(Shutdown.java:79)
    at java.lang.Shutdown.sequence(Shutdown.java:123)
    at java.lang.Shutdown.exit(Shutdown.java:168)
    - locked <0x00002aaaed6f2ef0> (a java.lang.Class for java.lang.Shutdown)
    at java.lang.Terminator$1.handle(Terminator.java:35)
    at sun.misc.Signal$1.run(Signal.java:195)
    at java.lang.Thread.run(Thread.java:619)

""Thread-23"" prio=10 tid=0x00002aab08019800 nid=0x2036 sleeping[0x00000000413de000]
   java.lang.Thread.State: TIMED_WAITING (sleeping)
    at java.lang.Thread.sleep(Native Method)
    at org.apache.hadoop.ipc.Client.stop(Client.java:679)
    at org.apache.hadoop.ipc.RPC$ClientCache.stopClient(RPC.java:192)
    at org.apache.hadoop.ipc.RPC$ClientCache.access$400(RPC.java:141)
    at org.apache.hadoop.ipc.RPC$Invoker.close(RPC.java:234)
    - locked <0x00002aaab7955f10> (a org.apache.hadoop.ipc.RPC$Invoker)
    at org.apache.hadoop.ipc.RPC$Invoker.access$500(RPC.java:199)
    at org.apache.hadoop.ipc.RPC.stopProxy(RPC.java:393)
    at org.apache.hadoop.hdfs.DFSClient.close(DFSClient.java:241)
    - locked <0x00002aaab78e5078> (a org.apache.hadoop.hdfs.DFSClient)
    at org.apache.hadoop.hdfs.DistributedFileSystem.close(DistributedFileSystem.java:269)
    at org.apache.hadoop.fs.FileSystem$Cache.closeAll(FileSystem.java:1419)
    - locked <0x00002aaab79563f0> (a org.apache.hadoop.fs.FileSystem$Cache)
    at org.apache.hadoop.fs.FileSystem.closeAll(FileSystem.java:212)
    at org.apache.hadoop.fs.FileSystem$ClientFinalizer.run(FileSystem.java:197)
    - locked <0x00002aaab78037e0> (a org.apache.hadoop.fs.FileSystem$ClientFinalizer)

""LruBlockCache.EvictionThread"" daemon prio=10 tid=0x0000000053920800 nid=0x31a4 in Object.wait() [0x0000000043900000]
   java.lang.Thread.State: WAITING (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab7a56160> (a org.apache.hadoop.hbase.io.hfile.LruBlockCache$EvictionThread)
    at java.lang.Object.wait(Object.java:485)
    at org.apache.hadoop.hbase.io.hfile.LruBlockCache$EvictionThread.run(LruBlockCache.java:512)
    - locked <0x00002aaab7a56160> (a org.apache.hadoop.hbase.io.hfile.LruBlockCache$EvictionThread)

""DestroyJavaVM"" prio=10 tid=0x00002aaaf800f000 nid=0x2f53 waiting on condition [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""regionserver/10.1.20.144:60020 <http://10.1.20.144:60020> "" prio=10 tid=0x00002aaaf800e000 nid=0x2f6c waiting for monitor entry [0x00000000415e2000]
- Hide quoted text -

   java.lang.Thread.State: BLOCKED (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab78037e0> (a org.apache.hadoop.fs.FileSystem$ClientFinalizer)
    at java.lang.Thread.join(Thread.java:1151)
    - locked <0x00002aaab78037e0> (a org.apache.hadoop.fs.FileSystem$ClientFinalizer)
    at org.apache.hadoop.hbase.util.Threads.shutdown(Threads.java:77)
    at org.apache.hadoop.hbase.regionserver.HRegionServer.runThread(HRegionServer.java:722)
    at org.apache.hadoop.hbase.regionserver.HRegionServer.run(HRegionServer.java:677)
    at java.lang.Thread.run(Thread.java:619)

""Low Memory Detector"" daemon prio=10 tid=0x00000000536b5000 nid=0x2f66 runnable [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""CompilerThread1"" daemon prio=10 tid=0x00000000536b2800 nid=0x2f65 waiting on condition [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""CompilerThread0"" daemon prio=10 tid=0x00000000536ae000 nid=0x2f64 waiting on condition [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""Signal Dispatcher"" daemon prio=10 tid=0x00000000536ac000 nid=0x2f63 runnable [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""Surrogate Locker Thread (CMS)"" daemon prio=10 tid=0x00000000536aa000 nid=0x2f62 waiting on condition [0x0000000000000000]
   java.lang.Thread.State: RUNNABLE

""Finalizer"" daemon prio=10 tid=0x0000000053687800 nid=0x2f61 in Object.wait() [0x00000000421e9000]
   java.lang.Thread.State: WAITING (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab77f0108> (a java.lang.ref.ReferenceQueue$Lock)
    at java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:118)
    - locked <0x00002aaab77f0108> (a java.lang.ref.ReferenceQueue$Lock)
    at java.lang.ref.ReferenceQueue.remove(ReferenceQueue.java:134)
    at java.lang.ref.Finalizer$FinalizerThread.run(Finalizer.java:159)

""Reference Handler"" daemon prio=10 tid=0x0000000053685800 nid=0x2f60 in Object.wait() [0x00000000420e8000]
   java.lang.Thread.State: WAITING (on object monitor)
    at java.lang.Object.wait(Native Method)
    - waiting on <0x00002aaab77f32b8> (a java.lang.ref.Reference$Lock)
    at java.lang.Object.wait(Object.java:485)
    at java.lang.ref.Reference$ReferenceHandler.run(Reference.java:116)
    - locked <0x00002aaab77f32b8> (a java.lang.ref.Reference$Lock)

""VM Thread"" prio=10 tid=0x000000005367e800 nid=0x2f5f runnable

""Gang worker#0 (Parallel GC Threads)"" prio=10 tid=0x00000000534c1800 nid=0x2f54 runnable

""Gang worker#1 (Parallel GC Threads)"" prio=10 tid=0x00000000534c3800 nid=0x2f55 runnable

""Gang worker#2 (Parallel GC Threads)"" prio=10 tid=0x00000000534c5800 nid=0x2f56 runnable

""Gang worker#3 (Parallel GC Threads)"" prio=10 tid=0x00000000534c7000 nid=0x2f57 runnable

""Gang worker#4 (Parallel GC Threads)"" prio=10 tid=0x00000000534c9000 nid=0x2f58 runnable

""Gang worker#5 (Parallel GC Threads)"" prio=10 tid=0x00000000534cb000 nid=0x2f59 runnable

""Gang worker#6 (Parallel GC Threads)"" prio=10 tid=0x00000000534cc800 nid=0x2f5a runnable

""Gang worker#7 (Parallel GC Threads)"" prio=10 tid=0x00000000534ce800 nid=0x2f5b runnable

""Concurrent Mark-Sweep GC Thread"" prio=10 tid=0x000000005359e800 nid=0x2f5e runnable
""Gang worker#0 (Parallel CMS Threads)"" prio=10 tid=0x000000005359b000 nid=0x2f5c runnable

""Gang worker#1 (Parallel CMS Threads)"" prio=10 tid=0x000000005359c800 nid=0x2f5d runnable

""VM Periodic Task Thread"" prio=10 tid=0x00000000536b7800 nid=0x2f67 waiting on condition

JNI global references: 960

Heap
 par new generation   total 115200K, used 67320K [0x00002aaaae6f0000, 0x00002aaab63f0000, 0x00002aaab63f0000)
  eden space 102400K,  65% used [0x00002aaaae6f0000, 0x00002aaab28a6130, 0x00002aaab4af0000)
  from space 12800K,   0% used [0x00002aaab5770000, 0x00002aaab5777f10, 0x00002aaab63f0000)
  to   space 12800K,   0% used [0x00002aaab4af0000, 0x00002aaab4af0000, 0x00002aaab5770000)
 concurrent mark-sweep generation total 896000K, used 705982K [0x00002aaab63f0000, 0x00002aaaecef0000, 0x00002aaaecef0000)
 concurrent-mark-sweep perm gen total 27204K, used 16361K [0x00002aaaecef0000, 0x00002aaaee981000, 0x00002aaaf22f0000)
{code}"
HBASE-13088,"[~busbey] noticed that the module hbase-native-client was not part of the release candidate 1.0.0RC5 in the src tarball (and neither in binary arifacts). 

I think we have added that as a part of C-API, but without implementation it just sits there. 

We should decide: 
1. Remove it
2. Add it to the release artifacts (src tarball from maven)

Does anybody have a plan around it? A reference implementation? I do not want to release it as official C API, without anything to back it up. 
"
HBASE-5608,"Many of the MR testcases are failing in PreCommit builds (triggered by Hadoop QA).
Failing testcases are
a) TestImportTsv
b) TestHFileOutputFormat
c) TestTableMapReduce"
HBASE-24,"We've been here before (HADOOP-2341).

Today the rapleaf gave me an lsof listing from a regionserver.  Had thousands of open sockets to datanodes all in ESTABLISHED and CLOSE_WAIT state.  On average they seem to have about ten file descriptors/sockets open per region (They have 3 column families IIRC.  Per family, can have between 1-5 or so mapfiles open per family -- 3 is max... but compacting we open a new one, etc.).

They have thousands of regions.   400 regions -- ~100G, which is not that much -- takes about 4k open file handles.

If they want a regionserver to server a decent disk worths -- 300-400G -- then thats maybe 1600 regions... 16k file handles.  If more than just 3 column families..... then we are in danger of blowing out limits if they are 32k.

We've been here before with HADOOP-2341.

A dfsclient that used non-blocking i/o would help applications like hbase (The datanode doesn't have this problem as bad -- CLOSE_WAIT on regionserver side, the bulk of the open fds in the rapleaf log, don't have a corresponding open resource on datanode end).

Could also just open mapfiles as needed, but that'd kill our random read performance and its bad enough already."
HBASE-11419,"After increasing and decreasing the TTL value of a Hbase Table , table gets inaccessible. Scan table not working.

Scan in hbase shell throws

java.lang.IllegalStateException: Block index not loaded
at com.google.common.base.Preconditions.checkState(Preconditions.java:145)
at org.apache.hadoop.hbase.io.hfile.HFileReaderV1.blockContainingKey(HFileReaderV1.java:181)
at org.apache.hadoop.hbase.io.hfile.HFileReaderV1$AbstractScannerV1.seekTo(HFileReaderV1.java:426)
at org.apache.hadoop.hbase.regionserver.StoreFileScanner.seekAtOrAfter(StoreFileScanner.java:226)
at org.apache.hadoop.hbase.regionserver.StoreFileScanner.seek(StoreFileScanner.java:145)
at org.apache.hadoop.hbase.regionserver.StoreScanner.<init>(StoreScanner.java:131)
at org.apache.hadoop.hbase.regionserver.Store.getScanner(Store.java:2015)
at org.apache.hadoop.hbase.regionserver.HRegion$RegionScannerImpl.<init>(HRegion.java:3706)
at org.apache.hadoop.hbase.regionserver.HRegion.instantiateRegionScanner(HRegion.java:1761)
at org.apache.hadoop.hbase.regionserver.HRegion.getScanner(HRegion.java:1753)
at org.apache.hadoop.hbase.regionserver.HRegion.getScanner(HRegion.java:1730)
at org.apache.hadoop.hbase.regionserver.HRegionServer.openScanner(HRegionServer.java:2409)
at sun.reflect.GeneratedMethodAccessor56.invoke(Unknown Source)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
at java.lang.reflect.Method.invoke(Method.java:597)
at org.apache.hadoop.hbase.ipc.WritableRpcEngine$Server.call(WritableRpcEngine.java:320)
at org.apache.hadoop.hbase.ipc.HBaseServer$Handler.run(HBaseServer.java:1426)

"
