HBASE-1249,"To discuss all the new and potential issues coming out of the change in key format (HBASE-1234): zero-copy reads, client binary protocol, update of API (HBASE-880), server optimizations, etc...",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-18472,"When I run mvn clean install -DskipTests on my local machine, lt always shows error below 
{quote}
WARNING] Rule 0: org.apache.maven.plugins.enforcer.EvaluateBeanshell failed with message:
License errors detected, for more detail find ERROR in hbase-assembly/target/maven-shared-archive-resources/META-INF/LICENSE

Failed to execute goal org.apache.maven.plugins:maven-enforcer-plugin:1.4.1:enforce (check-aggregate-license) on project hbase-assembly: Some Enforcer rules have failed. Look above for specific messages explaining why the rule failed.
{quote}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-18413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-17874,"HBASE-14978 added this size limiting so as to make sure the multi read requests do not retain two many blocks. This works well when the blocks are obtained from any where other than memory mode BucketCache. In case of on heap or off heap Bucket Cache, the entire cache area is split into N ByteBuffers each of size 4 MB. When we hit a block in this cache, we no longer do copy data into temp array. We use the same shared memory (BB).  Its  capacity is 4 MB.
The block size accounting logic is RSRpcServices is like below
{code}
 if (c instanceof ByteBufferCell) {
          ByteBufferCell bbCell = (ByteBufferCell) c;
          ByteBuffer bb = bbCell.getValueByteBuffer();
          if (bb != lastBlock) {
            context.incrementResponseBlockSize(bb.capacity());
            lastBlock = bb;
          }
        } else {
          // We're using the last block being the same as the current block as
          // a proxy for pointing to a new block. This won't be exact.
          // If there are multiple gets that bounce back and forth
          // Then it's possible that this will over count the size of
          // referenced blocks. However it's better to over count and
          // use two rpcs than to OOME the regionserver.
          byte[] valueArray = c.getValueArray();
          if (valueArray != lastBlock) {
            context.incrementResponseBlockSize(valueArray.length);
            lastBlock = valueArray;
          }
        }
		{code}
We take the BBCell's value buffer and takes its capacity. The cell is backed by the same BB that backs the HFileBlock. When the HFileBlock is created from the BC, we do as below duplicating and proper positioning and limiting the BB
{code}
 ByteBuffer bb = buffers[i].duplicate();
      if (i == startBuffer) {
        cnt = bufferSize - startBufferOffset;
        if (cnt > len) cnt = len;
        bb.limit(startBufferOffset + cnt).position(startBufferOffset);
		{code}
Still this BB's capacity is 4 MB.
This will make the size limit breach to happen too soon. What we expect is block size defaults to 64 KB and so we here by allow cells from different blocks to appear in response. We have a way to check whether we move from one block to next.
{code}
if (bb != lastBlock) {
...
            lastBlock = bb;
}
{code}
But already just by considering the 1st cell, we added 4 MB size!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-15573,"Can't retrieve any information with hbase  rpc java client.
With hbase shell its possible to scan data and retrieve all the information normally.

But with any rpc client region server don't retrieve data, all data come with null values.

Region Server log:
DEBUG [RpcServer.reader=2,bindAddress=HBASE,port=16020] ipc.RpcServer: RpcServer.listener,port=16020: DISCONNECTING client SERVER:37088 because read count=-1
DEBUG [RpcServer.reader=2,bindAddress=HBASE,port=16020] ipc.RpcServer: RpcServer.listener,port=16020: DISCONNECTING client SERVER2:36997 because read count=-1

Master log:
2016-03-31 18:16:27,998 DEBUG [ProcedureExecutorTimeout] procedure2.ProcedureExecutor$CompletedProcedureCleaner: No completed procedures to cleanup.
2016-03-31 18:16:57,998 DEBUG [ProcedureExecutorTimeout] procedure2.ProcedureExecutor$CompletedProcedureCleaner: No completed procedures to cleanup.
2016-03-31 18:17:27,998 DEBUG [ProcedureExecutorTimeout] procedure2.ProcedureExecutor$CompletedProcedureCleaner: No completed procedures to cleanup
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-14903," I've been reading on Latest Reference Guide and try to translated into Chinese!
     I think this sentence ""When a table is in the process of splitting,"" should be ""When a Region is in the process of splitting,"" on chapter 銆?2.2. hbase:meta銆戙€?     By the way,is this document the latest?銆恏ttp://hbase.apache.org/book.html#arch.overview銆慖 will translate it锛?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2015-12-03 19:23:27.39,,false,,,,,,,,,,,,,9223372036854775807,,,,,Sun Dec 06 02:38:23 UTC 2015,,,,,,0|i2p5cf:,9223372036854775807,,,,,,,,03/Dec/15 19:23;apurtell;bq. I think this sentence """"When a table is in the process of splitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-14957,"for initializing nutch, after configuring nutch whent I am trying to kickoff start-hbase.sh I am getting the below error.

/cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../conf/hbase-env.sh: line 101: $'\r': command not found
/cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../conf/hbase-env.sh: line 104: $'\r': command not found
/cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../conf/hbase-env.sh: line 107: $'\r': command not found
/cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../conf/hbase-env.sh: line 110: $'\r': command not found
/cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../conf/hbase-env.sh: line 115: $'\r': command not found
Error: Could not create the Java Virtual Machine.
Error: A fatal exception has occurred. Program will exit.
'nrecognized VM option 'UseConcMarkSweepGC
Error: Could not create the Java Virtual Machine.
Error: A fatal exception has occurred. Program will exit.
'nrecognized VM option 'UseConcMarkSweepGC
starting master, logging to /cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/../logs/hbase-Gaurav.Kandpal-master-gauravk.out
localhost: /cygdrive/c/users/gaurav.kandpal/desktop/test/hbase-0.94.9.tar/hbase-0.94.9/hbase-0.94.9/bin/regionservers.sh: line 64: ssh: command not found

reference URL is 

https://gist.github.com/xrstf/b48a970098a8e76943b9
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-2761,"Never seen this prior to the new meta prefetch stuff. Saw it tonight on a YCSB run after about an hour.

Exception in thread ""Thread-9"" java.lang.OutOfMemoryError: GC overhead limit exceeded
        at java.util.Hashtable.rehash(Hashtable.java:356)
        at java.util.Hashtable.put(Hashtable.java:412)
        at java.util.Properties.setProperty(Properties.java:143)
        at org.apache.hadoop.conf.Configuration.loadResource(Configuration.java:1337)
        at org.apache.hadoop.conf.Configuration.loadResources(Configuration.java:1227)
        at org.apache.hadoop.conf.Configuration.getProps(Configuration.java:1156)
        at org.apache.hadoop.conf.Configuration.iterator(Configuration.java:1198)
        at org.apache.hadoop.hbase.HBaseConfiguration.hashCode(HBaseConfiguration.java:112)
        at org.apache.hadoop.hbase.client.HConnectionManager.getConnection(HConnectionManager.java:121)
        at org.apache.hadoop.hbase.client.HTable.<init>(HTable.java:130)
        at org.apache.hadoop.hbase.client.HTable.<init>(HTable.java:99)
        at org.apache.hadoop.hbase.client.MetaScanner.metaScan(MetaScanner.java:102)
        at org.apache.hadoop.hbase.client.HConnectionManager$TableServers.prefetchRegionCache(HConnectionManager.java:733)
        at org.apache.hadoop.hbase.client.HConnectionManager$TableServers.locateRegionInMeta(HConnectionManager.java:784)
        at org.apache.hadoop.hbase.client.HConnectionManager$TableServers.locateRegion(HConnectionManager.java:678)
        at org.apache.hadoop.hbase.client.HConnectionManager$TableServers.processBatchOfPuts(HConnectionManager.java:1424)
        at org.apache.hadoop.hbase.client.HTable.flushCommits(HTable.java:660)
        at org.apache.hadoop.hbase.client.HTable.doPut(HTable.java:545)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-2731,"We're getting zillions of these in HMaster when it starts assigning regions at startup and it doesn't seem to progress.

{code}
2010-06-15 06:30:00,287 WARN org.apache.hadoop.hbase.zookeeper.ZooKeeperWrapper: 
<org.apache.hadoop.hbase.master.HMaster>Failed to create ZNode /hbase/UNASSIGNED/1766164500 in ZooKeeper^D
org.apache.zookeeper.KeeperException$NodeExistsException: KeeperErrorCode = NodeExists for /hbase/UNASSIGNED/1766164500^D
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:110)^D
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:42)^D
        at org.apache.zookeeper.ZooKeeper.create(ZooKeeper.java:637)^D
        at org.apache.hadoop.hbase.zookeeper.ZooKeeperWrapper.createZNodeIfNotExists(ZooKeeperWrapper.java:974)^D
        at org.apache.hadoop.hbase.zookeeper.ZooKeeperWrapper.createUnassignedRegion(ZooKeeperWrapper.java:1053)^D
        at org.apache.hadoop.hbase.master.RegionManager.doRegionAssignment(RegionManager.java:355)^D
        at org.apache.hadoop.hbase.master.RegionManager.assignRegions(RegionManager.java:312)^D
        at org.apache.hadoop.hbase.master.RegionManager.assignRegionsToMultipleServers(RegionManager.java:292)^D
        at org.apache.hadoop.hbase.master.RegionManager.assignRegions(RegionManager.java:221)^D
        at org.apache.hadoop.hbase.master.ServerManager.processMsgs(ServerManager.java:500)^D
        at org.apache.hadoop.hbase.master.ServerManager.processRegionServerAllsWell(ServerManager.java:425)^D
        at org.apache.hadoop.hbase.master.ServerManager.regionServerReport(ServerManager.java:335)^D
        at org.apache.hadoop.hbase.master.HMaster.regionServerReport(HMaster.java:700)^D
        at sun.reflect.GeneratedMethodAccessor3.invoke(Unknown Source)^D
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)^D
        at java.lang.reflect.Method.invoke(Method.java:597)^D
        at org.apache.hadoop.hbase.ipc.HBaseRPC$Server.call(HBaseRPC.java:576)^D
        at org.apache.hadoop.hbase.ipc.HBaseServer$Handler.run(HBaseServer.java:919)

{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBASE-3122,"10/10/18 16:26:44 INFO catalog.CatalogTracker: acer,60020,1287443908850 carrying .META.; unsetting .META. location
10/10/18 16:26:44 INFO catalog.CatalogTracker: Current cached META location is not valid, resetting
10/10/18 16:26:44 INFO handler.ServerShutdownHandler: Splitting logs for acer,60020,1287443908850
10/10/18 16:26:44 INFO zookeeper.ZKUtil: hconnection-0x12bc1a2f0a60001 Set watcher on existing znode /hbase/root-region-server
10/10/18 16:26:44 INFO catalog.RootLocationEditor: Unsetting ROOT region location in ZooKeeper
10/10/18 16:26:44 DEBUG zookeeper.ZKAssign: master:60000-0x12bc1a2f0a60000 Creating (or updating) unassigned node for 70236052 with OFFLINE state
10/10/18 16:26:44 WARN master.LoadBalancer: Wanted to do random assignment but no servers to assign to
10/10/18 16:26:44 ERROR executor.EventHandler: Caught throwable while processing event M_SERVER_SHUTDOWN
java.lang.NullPointerException
	at org.apache.hadoop.hbase.master.LoadBalancer$RegionPlan.toString(LoadBalancer.java:595)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.apache.hadoop.hbase.master.AssignmentManager.getRegionPlan(AssignmentManager.java:803)
	at org.apache.hadoop.hbase.master.AssignmentManager.getRegionPlan(AssignmentManager.java:777)
	at org.apache.hadoop.hbase.master.AssignmentManager.assign(AssignmentManager.java:720)
	at org.apache.hadoop.hbase.master.AssignmentManager.assign(AssignmentManager.java:640)
	at org.apache.hadoop.hbase.master.AssignmentManager.assignRoot(AssignmentManager.java:922)
	at org.apache.hadoop.hbase.master.handler.ServerShutdownHandler.process(ServerShutdownHandler.java:97)
	at org.apache.hadoop.hbase.executor.EventHandler.run(EventHandler.java:150)
	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)
	at java.lang.Thread.run(Thread.java:619)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
