"Update hadoop.version in the trunk, which is causing compilation failure",HDFS-13952,"<hadoop.version>3.2.0-SNAPSHOT</hadoop.version> to

<hadoop.version>3.3.0-SNAPSHOT</hadoop.version>

聽

On trunk compilation failure:

[WARNING] Rule 0: org.apache.maven.plugins.enforcer.RequireProperty failed with message:
The hadoop.version property should be set and should be 3.3.0-SNAPSHOT."
DataNodeManager#getDataNodeStorageInfos not backward compatibility,HDFS-9513,"We is upgraded our new HDFS cluster to 2.7.1,but we YARN cluster is 2.2.0(8000+,it's too hard to upgrade as soon as HDFS cluster).
The compatible case happened  datasteamer do pipeline recovery, the NN need DN's storageInfo to update pipeline, and the storageIds is pair of pipleline's DN,but HDFS support storage type feature from 2.3.0 [HDFS-2832|https://issues.apache.org/jira/browse/HDFS-2832], older version not have storageId ,although the protobuf serialization make the protocol compatible,but the client  will throw remote exception as ArrayIndexOutOfBoundsException.
----
the exception stack is below:
{noformat}
2015-12-05 20:26:38,291 ERROR [Thread-4] org.apache.hadoop.hdfs.DFSClient: Failed to close file XXX
org.apache.hadoop.ipc.RemoteException(java.lang.ArrayIndexOutOfBoundsException): 0
	at org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager.getDatanodeStorageInfos(DatanodeManager.java:513)
	at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.updatePipelineInternal(FSNamesystem.java:6439)
	at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.updatePipeline(FSNamesystem.java:6404)
	at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.updatePipeline(NameNodeRpcServer.java:892)
	at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.updatePipeline(ClientNamenodeProtocolServerSideTranslatorPB.java:997)
	at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java)
	at org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker.call(ProtobufRpcEngine.java:616)
	at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:1066)
	at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2049)
	at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2045)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:415)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1844)
	at org.apache.hadoop.ipc.Server$Handler.run(Server.java:2043)

	at org.apache.hadoop.ipc.Client.call(Client.java:1347)
	at org.apache.hadoop.ipc.Client.call(Client.java:1300)
	at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:206)
	at com.sun.proxy.$Proxy10.updatePipeline(Unknown Source)
	at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolTranslatorPB.updatePipeline(ClientNamenodeProtocolTranslatorPB.java:801)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.apache.hadoop.io.retry.RetryInvocationHandler.invokeMethod(RetryInvocationHandler.java:186)
	at org.apache.hadoop.io.retry.RetryInvocationHandler.invoke(RetryInvocationHandler.java:102)
	at com.sun.proxy.$Proxy11.updatePipeline(Unknown Source)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.setupPipelineForAppendOrRecovery(DFSOutputStream.java:1047)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.processDatanodeError(DFSOutputStream.java:823)
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:475)
{noformat}
"
Ozone: mvn package compilation fails on HDFS-7240,HDFS-12515,"Creation of a package on ozone(HDFS-7240) fails
{{mvn clean package -Pdist -DskipTests -Dtar -Dmaven.javadoc.skip=true}}

{code}
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.1:compile (default-compile) on project hadoop-mapreduce-examples: Compilation failure: Compilation failure: 
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraGen.java:[50,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraGen.java:[51,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraGen.java:[69,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraGen
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/BaileyBorweinPlouffe.java:[53,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/BaileyBorweinPlouffe.java:[86,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.BaileyBorweinPlouffe
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/DBCountPageView.java:[51,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/DBCountPageView.java:[80,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.DBCountPageView
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/pi/DistSum.java:[57,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/pi/DistSum.java:[69,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.pi.DistSum
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/dancing/DancingLinks.java:[23,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/dancing/DancingLinks.java:[38,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.dancing.DancingLinks<ColumnName>
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraSort.java:[40,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraSort.java:[50,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraSort
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraOutputFormat.java:[40,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraOutputFormat.java:[46,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraOutputFormat
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraScheduler.java:[29,17] package org.slf4j does not exist
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraScheduler.java:[34,24] cannot find symbol
[ERROR]   symbol:   class Logger
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraScheduler
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraGen.java:[69,37] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraGen
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/BaileyBorweinPlouffe.java:[87,7] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.BaileyBorweinPlouffe
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/DBCountPageView.java:[81,7] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.DBCountPageView
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/pi/DistSum.java:[69,37] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.pi.DistSum
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/dancing/DancingLinks.java:[38,37] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.dancing.DancingLinks<ColumnName>
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraSort.java:[50,37] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraSort
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraOutputFormat.java:[47,7] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraOutputFormat
[ERROR] /Users/msingh/code/work/apache/cblock/ozone_review2/hadoop-mapreduce-project/hadoop-mapreduce-examples/src/main/java/org/apache/hadoop/examples/terasort/TeraScheduler.java:[35,7] cannot find symbol
[ERROR]   symbol:   variable LoggerFactory
[ERROR]   location: class org.apache.hadoop.examples.terasort.TeraScheduler
{code}"
Ozone: Ozone data placement is not even,HDFS-12461,"On a machine with 3 data disks, Ozone keeps on picking the same disk to place all containers. Looks like we have a bug in the round robin selection of disks.

Steps to Reproduce:
1. Install an Ozone cluster.
2. Make sure that datanodes have more than one disk.
3. Run corona few times, each run creates more containers.
4. Login into the data node.
5. Run a command like tree or ls -R /data or independently verify each location.


"
 Data node process crashes after kernel upgrade,HDFS-12029," We have seen that when Linux kernel is upgraded to address a specific CVE 
 ( https://access.redhat.com/security/vulnerabilities/stackguard ) it might cause a datanode crash.

We have observed this issue while upgrading from 3.10.0-514.6.2 to 3.10.0-514.21.2 versions of the kernel.

Original kernel fix is here -- https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=1be7107fbe18eed3e319a6c3e83c78254b693acb

Datanode fails with the following stack trace, 

{noformat}

# 
# A fatal error has been detected by the Java Runtime Environment: 
# 
# SIGBUS (0x7) at pc=0x00007f458d078b7c, pid=13214, tid=139936990349120 
# 
# JRE version: (8.0_40-b25) (build ) 
# Java VM: Java HotSpot(TM) 64-Bit Server VM (25.40-b25 mixed mode linux-amd64 compressed oops) 
# Problematic frame: 
# j java.lang.Object.<clinit>()V+0 
# 
# Failed to write core dump. Core dumps have been disabled. To enable core dumping, try ""ulimit -c unlimited"" before starting Java again 
# 
# An error report file with more information is saved as: 
# /tmp/hs_err_pid13214.log 
# 
# If you would like to submit a bug report, please visit: 
# http://bugreport.java.com/bugreport/crash.jsp 
# 
{noformat}

The root cause is a failure in jsvc. If we pass a greater than 1MB value as the stack size argument, this can be mitigated.  Something like:

{code}
exec ""$JSVC"" \
-Xss2m
org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter ""$@""
{code}

This JIRA tracks potential fixes for this problem. We don't have data on how this impacts other applications that run on datanode as this might impact datanodes memory usage.

"
"In failover state, HDFS commands fail on ""Retrying connect to server:<master1>""",HDFS-8662,"Steps (on a 3M cluster):
1. Poweroff master1.
2. Failover to master2.
3. On HDFS commands, there are messages indicating failed attempt to connect to master1, though namenode is active and running on master2.
{code}
infinity2:~ # su - hdfs -c ""hdfs haadmin -getServiceState nn2""
active
infinity2:~ # su hdfs -c ""hdfs dfs -ls /""
15/06/24 15:28:15 INFO ipc.Client: Retrying connect to server: infinity1.labs.teradata.com/39.0.24.1:8020. Already tried 0 time(s); retry policy is RetryPolicy[MultipleLinearRandomRetry[6x10000ms, 10x60000ms], TryOnceThenFail]
15/06/24 15:28:31 INFO ipc.Client: Retrying connect to server: infinity1.labs.teradata.com/39.0.24.1:8020. Already tried 1 time(s); retry policy is RetryPolicy[MultipleLinearRandomRetry[6x10000ms, 10x60000ms], TryOnceThenFail]
Found 7 items
drwxrwxrwx   - yarn   hadoop          0 2015-06-24 14:42 /app-logs
drwxr-xr-x   - hdfs   hdfs            0 2015-06-24 06:16 /apps
drwxr-xr-x   - hdfs   hdfs            0 2015-06-24 06:14 /hdp
drwxr-xr-x   - mapred hdfs            0 2015-06-24 06:15 /mapred
drwxrwxrwx   - mapred hadoop          0 2015-06-24 06:15 /mr-history
drwxrwxrwx   - hdfs   hdfs            0 2015-06-24 06:16 /tmp
drwxr-xr-x   - hdfs   hdfs            0 2015-06-24 06:17 /user
infinity2:~ # ps -fu hdfs
UID        PID  PPID  C STIME TTY          TIME CMD
hdfs     16318     1  0 06:25 ?        00:00:40 /opt/teradata/jvm64/jdk8/bin/java -Dproc_journalnode -Xmx4096m -Dhdp.version=2.3.0.0-2462 -Djava.net.prefe
hdfs     16859     1  0 06:26 ?        00:00:29 /opt/teradata/jvm64/jdk8/bin/java -Dproc_zkfc -Xmx4096m -Dhdp.version=2.3.0.0-2462 -Djava.net.preferIPv4St
hdfs     17791     1  0 06:26 ?        00:02:34 /opt/teradata/jvm64/jdk8/bin/java -Dproc_namenode -Xmx4096m -Dhdp.version=2.3.0.0-2462 -Djava.net.preferIP
infinity2:~ #
{code}
"
SNN crashed because edit log has gap after upgrade,HDFS-5553,"As HDFS-5550 depicted, journal nodes doesn't upgrade, so I change the VERSION manually according to NN's VERSION.
then , I do upgrade and get this exception. I also marked this as Blocker.

my steps as following:
It's a fresh cluster with hadoop-2.0.1 before upgrading.

0) install hadoop-2.2.0 hadoop package on all nodes.
1) stop-dfs.sh on active NN
2) disable HA in the core-site.xml and hdfs-site.xml on active NN and SNN
3) start-dfs.sh -upgrade -clusterId test-cluster on active NN(only one NN now.)
4) stop-dfs.sh after active NN started successfully.
5) enable HA in the core-site.xml and hdfs-site.xml on active NN and SNN
6) change all journal nodes' VERSION manually according to NN's VERSION
7) rm -f 'dfs.journalnode.edits.dir'/test-cluster/current/* (just keep VERSION here)
8) delete all data under 'dfs.namenode.name.dir' on SNN
9) scp -r 'dfs.namenode.name.dir' to SNN on active NN
10) start-dfs.sh




"
Journal Node is not upgrade during HDFS upgrade,HDFS-5550,"HDFS upgrade from 2.0.3 to 2.2.0,  but Journal node doesn't upgrade, a directly problem is VERSION file is old.

so SNN relay edit log through http://hostname:8480/getJournal?*** get 403, because VERSION is mismatched.

I marked this as Blocker, does that OK?

"
Exception in createBlockOutputStream java.io.EOFException: Premature EOF: no length prefix available,HDFS-8475,"Scenraio:
=========
write a file
corrupt block manually

Exception stack trace- 

2015-05-24 02:31:55.291 INFO [T-33716795] [org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer] Exception in createBlockOutputStream
java.io.EOFException: Premature EOF: no length prefix available
        at org.apache.hadoop.hdfs.protocolPB.PBHelper.vintPrefixed(PBHelper.java:1492)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1155)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1088)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:514)
[5/24/15 2:31:55:291 UTC] 02027a3b DFSClient     I org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer createBlockOutputStream Exception in createBlockOutputStream
                                 java.io.EOFException: Premature EOF: no length prefix available
        at org.apache.hadoop.hdfs.protocolPB.PBHelper.vintPrefixed(PBHelper.java:1492)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1155)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1088)
        at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:514)

2015-05-24 02:31:55.291 INFO [T-33716795] [org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer] Abandoning BP-176676314-10.108.106.59-1402620296713:blk_1404621403_330880579
[5/24/15 2:31:55:291 UTC] 02027a3b DFSClient     I org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer nextBlockOutputStream Abandoning BP-176676314-10.108.106.59-1402620296713:blk_1404621403_330880579
2015-05-24 02:31:55.299 INFO [T-33716795] [org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer] Excluding datanode 10.108.106.59:50010
[5/24/15 2:31:55:299 UTC] 02027a3b DFSClient     I org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer nextBlockOutputStream Excluding datanode 10.108.106.59:50010
2015-05-24 02:31:55.300 WARNING [T-33716795] [org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer] DataStreamer Exception
org.apache.hadoop.ipc.RemoteException(java.io.IOException): File /var/db/opera/files/B4889CCDA75F9751DDBB488E5AAB433E/BE4DAEF290B7136ED6EF3D4B157441A2/BE4DAEF290B7136ED6EF3D4B157441A2-4.pag could only be replicated to 0 nodes instead of minReplication (=1).  There are 1 datanode(s) running and 1 node(s) are excluded in this operation.
        at org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseTarget(BlockManager.java:1384)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:2477)
        at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.addBlock(NameNodeRpcServer.java:555)


[5/24/15 2:31:55:300 UTC] 02027a3b DFSClient     W org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer run DataStreamer Exception
                                 org.apache.hadoop.ipc.RemoteException(java.io.IOException): File /var/db/opera/files/B4889CCDA75F9751DDBB488E5AAB433E/BE4DAEF290B7136ED6EF3D4B157441A2/BE4DAEF290B7136ED6EF3D4B157441A2-4.pag could only be replicated to 0 nodes instead of minReplication (=1).  There are 1 datanode(s) running and 1 node(s) are excluded in this operation.
        at org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseTarget(BlockManager.java:1384)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:2477)
        at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.addBlock(NameNodeRpcServer.java:555)
        at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.addBlock(ClientNamenodeProtocolServerSideTranslatorPB.java:387)
        at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java:59582)
        
		
2015-05-24 02:31:55.301 WARNING [T-880] [E-AA380B730CF751508DC9163BAC8E4D1D] [job:B94FEC9411E2C8563C842833D78142CF] [org.apache.hadoop.hdfs.DFSOutputStream] Error while syncing
org.apache.hadoop.ipc.RemoteException(java.io.IOException): File /var/db/opera/files/B4889CCDA75F9751DDBB488E5AAB433E/BE4DAEF290B7136ED6EF3D4B157441A2/BE4DAEF290B7136ED6EF3D4B157441A2-4.pag could only be replicated to 0 nodes instead of minReplication (=1).  There are 1 datanode(s) running and 1 node(s) are excluded in this operation.
        at org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseTarget(BlockManager.java:1384)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:2477)
        at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.addBlock(NameNodeRpcServer.java:555)
        at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.addBlock(ClientNamenodeProtocolServerSideTranslatorPB.java:387)
        at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java:59582)
        at org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker.call(ProtobufRpcEngine.java:585)
        at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:928)
        at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2048)
"
Webhdfs not working with shell command when kerberos security+https is enabled.,HDFS-9471,"*Client exception*
{code}
secure@host85:/opt/hdfsdata/HA/install/hadoop/namenode/bin> ./hdfs dfs -ls webhdfs://x.x.x.x:50070/test
15/11/25 18:46:55 ERROR web.WebHdfsFileSystem: Unable to get HomeDirectory from original File System
java.net.SocketException: Unexpected end of file from server
        at sun.net.www.http.HttpClient.parseHTTPHeader(HttpClient.java:792)
{code}

*Exception in namenode log*
{code}
2015-11-26 11:03:18,231 WARN org.mortbay.log: EXCEPTION
javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?
        at sun.security.ssl.InputRecord.handleUnknownRecord(InputRecord.java:710)
        at sun.security.ssl.InputRecord.read(InputRecord.java:527)
        at sun.security.ssl.SSLSocketImpl.readRecord(SSLSocketImpl.java:961)
        at sun.security.ssl.SSLSocketImpl.performInitialHandshake(SSLSocketImpl.java:1363)
        at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1391)
        at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1375)
        at org.mortbay.jetty.security.SslSocketConnector$SslConnection.run(SslSocketConnector.java:708)
        at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582)
{code}

This is because URL schema hard coded in {{WebHdfsFileSystem.getTransportScheme()}}.

{code}
 /**
   * return the underlying transport protocol (http / https).
   */
  protected String getTransportScheme() {
    return ""http"";
  }
{code}"
HDFS-2317 in trunk appears to have broken the build,HDFS-2329,"Trunk HDFS build fails with 

{noformat}
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:2.3.2:compile (default-compile) on project hadoop-hdfs: Compilation failure
[ERROR] /home/evans/src/hadoop-git/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/web/WebHdfsFileSystem.java:[209,22] type parameters of <T>T cannot be determined; no unique maximal instance exists for type variable T with upper bounds T,java.lang.Object
{noformat}

On my systems
{noformat}
$ java -version
java version ""1.6.0_22""
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Java HotSpot(TM) Server VM (build 17.1-b03, mixed mode)
{noformat}

{noformat}
 $ svn info
Path: .
URL: http://svn.apache.org/repos/asf/hadoop/common/trunk
Repository Root: http://svn.apache.org/repos/asf
Repository UUID: 13f79535-47bb-0310-9956-ffa450edef68
Revision: 1170215
Node Kind: directory
Schedule: normal
Last Changed Author: szetszwo
Last Changed Rev: 1170085
Last Changed Date: 2011-09-13 03:34:27 -0500 (Tue, 13 Sep 2011)
{noformat}"
